Census_year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading_name,Business_address,Number of patrons,Longitude,Latitude,Location
2002,11,108971,108971,24-40 Spencer Street MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Spencer Street MELBOURNE 3000,100,144.95379,-37.82183,"-37.82183, 144.95379"
2002,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95393,-37.82215,"-37.82215, 144.95393"
2002,13,108058,108058,7-11 Queen Street MELBOURNE 3000,Melbourne (CBD),The Bliss Lounge,"Basement , 11 Queen Street MELBOURNE 3000",210,144.96063,-37.82026,"-37.82026, 144.96063"
2002,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Connells Tavern,35 Elizabeth Street MELBOURNE 3000,350,144.963,-37.81906,"-37.81906, 144.963"
2002,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96398,-37.81888,"-37.81888, 144.96398"
2002,16,104018,104018,172-192 Flinders Street MELBOURNE 3000,Melbourne (CBD),Purple Emerald,"Ground , 191 Flinders Street MELBOURNE 3000",100,144.96725,-37.81824,"-37.81824, 144.96725"
2002,35,102143,102143,258-274 Collins Street MELBOURNE 3000,Melbourne (CBD),Australia On Collins Bar,"Shop 121, Basement , 260 Collins Street MELBOURNE 3000",11,144.96359,-37.81706,"-37.81706, 144.96359"
2002,35,109271,109271,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),Hi Fi Bar & Ballroom,"Basement , 125 Swanston Street MELBOURNE 3000",800,144.96449,-37.81637,"-37.81637, 144.96449"
2002,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Dr Martin's Tavern,86A Collins Street MELBOURNE 3000,291,144.96927,-37.81557,"-37.81557, 144.96927"
2002,43,108069,108069,131-141 Queen Street MELBOURNE 3000,Melbourne (CBD),The Turf Bar & Restaurant,"Unit 1, LwrGround , 131 Queen Street MELBOURNE 3000",400,144.95922,-37.81713,"-37.81713, 144.95922"
2002,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.96633,-37.81484,"-37.81484, 144.96633"
2002,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.96627,-37.81555,"-37.81555, 144.96627"
2002,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,115-127 Russell Street MELBOURNE 3000,414,144.96688,-37.8153,"-37.8153, 144.96688"
2002,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE 3000,100,144.97073,-37.81357,"-37.81357, 144.97073"
2002,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,300,144.97013,-37.81445,"-37.81445, 144.97013"
2002,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.96932,-37.81287,"-37.81287, 144.96932"
2002,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Cheers Bar & Grill,19 Little Bourke Street MELBOURNE 3000,350,144.97067,-37.81238,"-37.81238, 144.97067"
2002,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95318,-37.81654,"-37.81654, 144.95318"
2002,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),Great Western Hotel,204-208 King Street MELBOURNE 3000,383,144.95417,-37.81685,"-37.81685, 144.95417"
2002,64,104376,104376,14-20 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 A'Beckett Street MELBOURNE 3000,200,144.95942,-37.81492,"-37.81492, 144.95942"
2002,84,103207,103207,315-321 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Tabaret At Melbourne Central,"Ground  & Levels 1, 315-321 Elizabeth Street MELBOURNE 3000",250,144.96016,-37.81289,"-37.81289, 144.96016"
2002,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Embassy Bar,9-13 Drewery Place MELBOURNE 3000,303,144.96265,-37.81294,"-37.81294, 144.96265"
2002,131,108844,108844,1-5 Spencer Street DOCKLANDS 3005,Docklands,Holiday Inn Melbourne,1 Spencer Street DOCKLANDS 3005,130,144.95378,-37.82436,"-37.82436, 144.95378"
2002,214,106186,106186,414-422 Lygon Street CARLTON 3053,Carlton,Percys Bar & Bistro,414 Lygon Street CARLTON 3053,120,144.9665,-37.79858,"-37.79858, 144.9665"
2002,215,108202,108202,415-421 Rathdowne Street CARLTON 3053,Carlton,Clare Castle Hotel,415 Rathdowne Street CARLTON 3053,50,144.96911,-37.79816,"-37.79816, 144.96911"
2002,267,106251,106251,66-88 Lygon Street CARLTON 3053,Carlton,Lagers On Lygon,"Part Ground 0, 66-0 Lygon Street CARLTON 3053",80,144.96526,-37.80694,"-37.80694, 144.96526"
2002,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161 Errol Street NORTH MELBOURNE 3051,50,144.94832,-37.8028,"-37.8028, 144.94832"
2002,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,Court House Hotel,86-90 Errol Street NORTH MELBOURNE 3051,140,144.94864,-37.80452,"-37.80452, 144.94864"
2002,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,56 Courtney Street NORTH MELBOURNE 3051,317,144.95172,-37.80253,"-37.80253, 144.95172"
2002,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Hilton Hotels of Australia (Melbourne) Pty Ltd,178 Wellington Parade EAST MELBOURNE 3002,200,144.98218,-37.81746,"-37.81746, 144.98218"
2002,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part 0-0 Brunton Avenue JOLIMONT 3002,2545,144.98205,-37.82168,"-37.82168, 144.98205"
2002,710,108617,108617,375-385 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Royce On St Kilda Road,375 St Kilda Road MELBOURNE 3004,120,144.97422,-37.83673,"-37.83673, 144.97422"
2002,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140-0 Harbour Esplanade DOCKLANDS 3008",500,144.94615,-37.81812,"-37.81812, 144.94615"
2003,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,508-514 Flinders Street MELBOURNE 3000,400,144.95583,-37.8218,"-37.8218, 144.95583"
2003,14,103951,103951,341-347 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bull And Bear Tavern,347 Flinders Lane MELBOURNE 3000,200,144.96172,-37.81946,"-37.81946, 144.96172"
2003,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96398,-37.81888,"-37.81888, 144.96398"
2003,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Velour,"Unit 1, Gnd & Bmt , 121 Flinders Lane MELBOURNE 3000",350,144.9692,-37.81731,"-37.81731, 144.9692"
2003,23,102098,102098,415-417 Collins Street MELBOURNE 3000,Melbourne (CBD),The Sherlock Holmes Inn,"Basement , 415 Collins Street MELBOURNE 3000",70,144.95955,-37.81911,"-37.81911, 144.95955"
2003,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,"Floor 1, 193-199 Bourke Street MELBOURNE 3000",200,144.96633,-37.81484,"-37.81484, 144.96633"
2003,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,10 Little Collins Street MELBOURNE 3000,150,144.96627,-37.81555,"-37.81555, 144.96627"
2003,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,115-127 Russell Street MELBOURNE 3000,414,144.96688,-37.8153,"-37.8153, 144.96688"
2003,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.96932,-37.81287,"-37.81287, 144.96932"
2003,58,105828,105828,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Cheers Bar & Grill,19 Little Bourke Street MELBOURNE 3000,350,144.97067,-37.81238,"-37.81238, 144.97067"
2003,66,105878,105878,242-244 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Shanghai Club,"Unit 1, Ground , 242 Little Bourke Street MELBOURNE 3000",209,144.96427,-37.81373,"-37.81373, 144.96427"
2003,71,105318,105318,277-287 King Street MELBOURNE 3000,Melbourne (CBD),Golden Age Hotel,277-287 King Street MELBOURNE 3000,200,144.95288,-37.81531,"-37.81531, 144.95288"
2003,72,110106,110106,263-267 William Street MELBOURNE 3000,Melbourne (CBD),Metropolitan On William Bar & Restaurant,263-267 William Street MELBOURNE 3000,300,144.95527,-37.81456,"-37.81456, 144.95527"
2003,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,"Level 1, 391-0 Little Lonsdale Street MELBOURNE 3000",175,144.95903,-37.81351,"-37.81351, 144.95903"
2003,78,110716,105763,42-44 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),44 Bar,42-44 Lonsdale Street MELBOURNE 3000,260,,,
2003,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Embassy Bar,9-13 Drewery Place MELBOURNE 3000,303,144.96265,-37.81294,"-37.81294, 144.96265"
2003,115,103293,103293,502-504 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Stork Hotel,502-504 Elizabeth Street MELBOURNE 3000,180,144.95895,-37.80882,"-37.80882, 144.95895"
2003,204,101613,101613,377-391 Cardigan Street CARLTON 3053,Carlton,Clyde Hotel,377-391 Cardigan Street CARLTON 3053,239,144.96444,-37.79889,"-37.79889, 144.96444"
2003,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,"Ground , 200 Lygon Street CARLTON 3053",200,144.96578,-37.80419,"-37.80419, 144.96578"
2003,255,101593,101593,91-95 Cardigan Street CARLTON 3053,Carlton,Hotel Lincoln,91 Cardigan Street CARLTON 3053,50,144.96319,-37.80612,"-37.80612, 144.96319"
2003,266,106081,106081,27-31 Lygon Street CARLTON 3053,Carlton,John Curtin Hotel,27-31 Lygon Street CARLTON 3053,350,144.96438,-37.80784,"-37.80784, 144.96438"
2003,315,100514,100514,204-206 Arden Street NORTH MELBOURNE 3051,North Melbourne,North Melbourne Football Club Social Club,33 Arden Street NORTH MELBOURNE 3051,210,144.94011,-37.80056,"-37.80056, 144.94011"
2003,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,161-163 Errol Street NORTH MELBOURNE 3051,50,144.94832,-37.8028,"-37.8028, 144.94832"
2003,362,109843,109843,232-238 Victoria Street MELBOURNE 3000,North Melbourne,The Public Bar Hotel,238 Victoria Street MELBOURNE 3000,180,144.95727,-37.80757,"-37.80757, 144.95727"
2003,375,103810,103810,5-17 Flemington Road NORTH MELBOURNE 3051,North Melbourne,The Chifley On Flemington,5-17 Flemington Road NORTH MELBOURNE 3051,230,144.95453,-37.80306,"-37.80306, 144.95453"
2003,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,MCG Worx,180 Wellington Parade EAST MELBOURNE 3002,144,144.98218,-37.81746,"-37.81746, 144.98218"
2003,658,110266,110266,Brunton Avenue JOLIMONT 3002,East Melbourne,Spotless Services,Part  Brunton Avenue JOLIMONT 3002,2545,144.98184,-37.82164,"-37.82164, 144.98184"
2003,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,P J O'Briens Irish Pub,3 Southgate Avenue SOUTHBANK 3006,300,144.96499,-37.82234,"-37.82234, 144.96499"
2003,915,108456,108456,43-49 Royal Parade PARKVILLE 3052,Parkville,Naughtons Hotel,43-49 Royal Parade PARKVILLE 3052,120,144.95622,-37.79718,"-37.79718, 144.95622"
2003,1108,573414,573414,788-812 Bourke Street DOCKLANDS 3008,Docklands,Watermark Bar,"Shop 9, 800-0 Bourke Street DOCKLANDS 3008",300,144.94376,-37.82049,"-37.82049, 144.94376"
2004,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transport,"Tenancy 29, 2 Swanston Street MELBOURNE 3000",830,144.96851,-37.81943,"-37.81943, 144.96851"
2004,11,103984,103984,566-580 Flinders Street MELBOURNE 3000,Melbourne (CBD),All Nations Bar,8 Flinders Street MELBOURNE 3000,100,144.95402,-37.82235,"-37.82235, 144.95402"
2004,11,108971,108971,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,561-585 Flinders Lane MELBOURNE 3000,100,144.95379,-37.82183,"-37.82183, 144.95379"
2004,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95393,-37.82215,"-37.82215, 144.95393"
2004,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Green Room,35-0 Elizabeth Street MELBOURNE 3000,225,144.963,-37.81906,"-37.81906, 144.963"
2004,14,103946,103946,313-315 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Hidden Bar Restaurant,"Unit 1, Basement , 313-315 Flinders Lane MELBOURNE 3000",100,144.96254,-37.81928,"-37.81928, 144.96254"
2004,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),De Biers,"Unit 1, Basement , 277 Flinders Lane MELBOURNE 3000",400,144.96398,-37.81888,"-37.81888, 144.96398"
2004,17,587492,103921,91-93 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Returned & Services League - Melbourne Sub-branch,91-0 Flinders Lane MELBOURNE 3000,90,144.9699,-37.81705,"-37.81705, 144.9699"
2004,17,103924,103924,107-109 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bisq Cafeteria,"Unit 1, Bmt & Gnd , 107 Flinders Lane MELBOURNE 3000",200,144.96952,-37.81724,"-37.81724, 144.96952"
2004,25,103964,103964,30-44 Manchester Lane MELBOURNE 3000,Melbourne (CBD),Manchester Lane,"Ground , 236 Manchester Lane MELBOURNE 3000",250,144.96488,-37.81806,"-37.81806, 144.96488"
2004,31,102113,102113,546-566 Collins Street MELBOURNE 3000,Melbourne (CBD),Nero Bar,546-566 Collins Street MELBOURNE 3000,80,144.95453,-37.81988,"-37.81988, 144.95453"
2004,33,105933,105933,425-427 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Irish Times,"Ground , 427 Little Collins Street MELBOURNE 3000",170,144.95922,-37.81789,"-37.81789, 144.95922"
2004,35,102141,102141,280-292 Collins Street MELBOURNE 3000,Melbourne (CBD),The Charles Dickens Tavern,"Basement , 290 Collins Street MELBOURNE 3000",450,144.96326,-37.81728,"-37.81728, 144.96326"
2004,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Dr Martin's Tavern,86A Collins Street MELBOURNE 3000,261,144.96927,-37.81557,"-37.81557, 144.96927"
2004,48,101109,101109,39-43 Bourke Street MELBOURNE 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE 3000,100,144.97073,-37.81357,"-37.81357, 144.97073"
2004,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),Murmur,"Level 1, 15-19 Warburton Lane MELBOURNE 3000",50,144.96053,-37.81545,"-37.81545, 144.96053"
2004,56,108538,108538,163-169 Russell Street MELBOURNE 3000,Melbourne (CBD),Altitude,"Floor 1, 163-165 Russell Street MELBOURNE 3000",300,144.96632,-37.81411,"-37.81411, 144.96632"
2004,57,101217,101217,124-128 Bourke Street MELBOURNE 3000,Melbourne (CBD),Welcome Stranger,"Ground , 124-128 Bourke Street MELBOURNE 3000",350,144.96795,-37.81371,"-37.81371, 144.96795"
2004,58,101238,101238,2-8 Bourke Street MELBOURNE 3000,Melbourne (CBD),Imperial Hotel,2-8 Bourke Street MELBOURNE 3000,300,144.97136,-37.81284,"-37.81284, 144.97136"
2004,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.96932,-37.81287,"-37.81287, 144.96932"
2004,62,105384,105384,204-208 King Street MELBOURNE 3000,Melbourne (CBD),Great Western Hotel,204-208 King Street MELBOURNE 3000,390,144.95417,-37.81685,"-37.81685, 144.95417"
2004,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),Exford Hotel,199-203 Russell Street MELBOURNE 3000,300,144.96603,-37.81343,"-37.81343, 144.96603"
2004,67,103605,103605,231-233 Exhibition Street MELBOURNE 3000,Melbourne (CBD),The Sen Bar,231-233 Exhibition Street MELBOURNE 3000,120,144.9682,-37.81215,"-37.81215, 144.9682"
2004,87,106057,106057,106 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Troika Bar,106 Little Lonsdale Street MELBOURNE 3000,60,144.96727,-37.81079,"-37.81079, 144.96727"
2004,95,109315,109315,407-409 Swanston Street MELBOURNE 3000,Melbourne (CBD),Bunker Lounge Bar,"Unit 1, Basement , 407 Swanston Street MELBOURNE 3000",92,144.96187,-37.81059,"-37.81059, 144.96187"
2004,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Fluid Oz Bar,450 Elizabeth Street MELBOURNE 3000,365,144.95954,-37.80995,"-37.80995, 144.95954"
2004,105,109317,109317,427-433 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Oxford Scholar Hotel,427-433 Swanston Street MELBOURNE 3000,486,144.96161,-37.8101,"-37.8101, 144.96161"
2004,114,109493,109493,143-151 Therry Street MELBOURNE 3000,Melbourne (CBD),Mercat Cross Hotel,143-151 Therry Street MELBOURNE 3000,230,144.95709,-37.80954,"-37.80954, 144.95709"
2004,115,103293,103293,502-504 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Stork Hotel,502-504 Elizabeth Street MELBOURNE 3000,180,144.95895,-37.80882,"-37.80882, 144.95895"
2004,115,104103,104103,34-38 Franklin Street MELBOURNE 3000,Melbourne (CBD),Mac's Hotel,34-38 Franklin Street MELBOURNE 3000,125,144.96031,-37.80916,"-37.80916, 144.96031"
2004,131,108844,108844,1-5 Spencer Street DOCKLANDS 3005,Docklands,Holiday Inn Melbourne,1-5 Spencer Street DOCKLANDS 3005,130,144.95378,-37.82436,"-37.82436, 144.95378"
2004,227,576967,576967,184 Rathdowne Street CARLTON 3053,Carlton,Rathdowne Tavern,184 Rathdowne Street CARLTON 3053,248,144.96992,-37.7964,"-37.7964, 144.96992"
2004,247,106238,106238,192-202 Lygon Street CARLTON 3053,Carlton,Players On Lygon,"Ground , 200 Lygon Street CARLTON 3053",200,144.96578,-37.80419,"-37.80419, 144.96578"
2004,252,106244,106244,160-162 Lygon Street CARLTON 3053,Carlton,Bar Centrale,"Ground , 160-162 Lygon Street CARLTON 3053",500,144.96545,-37.80508,"-37.80508, 144.96545"
2004,255,101593,101593,91-95 Cardigan Street CARLTON 3053,Carlton,Hotel Lincoln,91 Cardigan Street CARLTON 3053,50,144.96319,-37.80612,"-37.80612, 144.96319"
2004,267,106251,106251,66-88 Lygon Street CARLTON 3053,Carlton,Lagers On Lygon,"Part Ground , 66 Lygon Street CARLTON 3053",80,144.96526,-37.80694,"-37.80694, 144.96526"
2004,327,102352,102352,171-173 Curzon Street NORTH MELBOURNE 3051,North Melbourne,Albion Hotel,171-173 Curzon Street NORTH MELBOURNE 3051,150,144.94724,-37.80054,"-37.80054, 144.94724"
2004,355,105636,105636,46-50 Leveson Street NORTH MELBOURNE 3051,North Melbourne,The Leveson,46-50 Leveson Street NORTH MELBOURNE 3051,400,144.95014,-37.80534,"-37.80534, 144.95014"
2004,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,Court House Hotel,86-90 Errol Street NORTH MELBOURNE 3051,140,144.94864,-37.80452,"-37.80452, 144.94864"
2004,376,508976,110862,42 Courtney Street NORTH MELBOURNE 3051,North Melbourne,Metropolitan Hotel,42 Courtney Street NORTH MELBOURNE 3051,120,144.95277,-37.80307,"-37.80307, 144.95277"
2004,618,109993,109993,178-226 Wellington Parade EAST MELBOURNE 3002,East Melbourne,Hilton Hotels of Australia (Melbourne) Pty Ltd,178-226 Wellington Parade EAST MELBOURNE 3002,200,144.98218,-37.81746,"-37.81746, 144.98218"
2004,710,108617,108617,375-385 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Royce On St Kilda Road,375-385 St Kilda Road MELBOURNE 3004,120,144.97422,-37.83673,"-37.83673, 144.97422"
2004,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,P J O'Briens Irish Pub,"Shop 14, Ground , 3 Southgate Avenue SOUTHBANK 3006",300,144.96499,-37.82234,"-37.82234, 144.96499"
2004,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Saturne,"Shop 12, Ground , 3 Southgate Avenue SOUTHBANK 3006",100,144.96499,-37.82234,"-37.82234, 144.96499"
2004,753,110606,110380,3 Southgate Avenue SOUTHBANK 3006,Southbank,Mecca,"Restaurant 3, Mid Lvl , 3 Southgate Avenue SOUTHBANK 3006",200,144.96499,-37.82234,"-37.82234, 144.96499"
2004,760,108642,108642,497-503 St Kilda Road MELBOURNE 3004,Melbourne (Remainder),Cafe Dom - The Granite Bar,"Part Ground , 499 St Kilda Road MELBOURNE 3004",230,144.97776,-37.84496,"-37.84496, 144.97776"
2004,861,102503,102503,161-173 Domain Road SOUTH YARRA 3141,South Yarra,Botanical Hotel,"Unit 5, 171 Domain Road SOUTH YARRA 3141",245,144.98039,-37.83596,"-37.83596, 144.98039"
2004,1103,558180,558180,94-148 Harbour Esplanade DOCKLANDS 3008,Docklands,Locker Room Club Bar,"Part Level 1, 140 Harbour Esplanade DOCKLANDS 3008",500,144.94615,-37.81812,"-37.81812, 144.94615"
2005,6,578321,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Lower House,"Tenancy 17, 2 Swanston Street MELBOURNE 3000",355,144.96851,-37.81943,"-37.81943, 144.96851"
2005,11,103984,103984,566-580 Flinders Street MELBOURNE 3000,Melbourne (CBD),All Nations Bar,8 Flinders Street MELBOURNE 3000,100,144.95402,-37.82235,"-37.82235, 144.95402"
2005,11,108972,108972,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),Explorers Inn,10-22 Spencer Street MELBOURNE 3000,50,144.95393,-37.82215,"-37.82215, 144.95393"
2005,13,106435,106435,21-31 Market Street MELBOURNE 3000,Melbourne (CBD),The Trust Bar,"Unit 1, 29-0 Market Street MELBOURNE 3000",100,144.95911,-37.82028,"-37.82028, 144.95911"
2005,14,101099,101099,16-26 Bond Street MELBOURNE 3000,Melbourne (CBD),Bond Lounge,"Ground , 20-24 Bond Street MELBOURNE 3000",500,144.96174,-37.81978,"-37.81978, 144.96174"
2005,14,103172,103172,31-39 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Green Room,35 Elizabeth Street MELBOURNE 3000,225,144.963,-37.81906,"-37.81906, 144.963"
2005,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Adelphi Hotel,187 Flinders Lane MELBOURNE 3000,80,144.96706,-37.818,"-37.818, 144.96706"
2005,17,587492,103921,91-93 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Returned & Services League - Melbourne Sub-branch,91-0 Flinders Lane MELBOURNE 3000,90,144.9699,-37.81705,"-37.81705, 144.9699"
2005,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Red Rhythm,"Mezzanine 0, 12B-0 Flinders Lane MELBOURNE 3000",30,144.96428,-37.81824,"-37.81824, 144.96428"
2005,33,100727,100727,5-9 Bank Place MELBOURNE 3000,Melbourne (CBD),Mitre Tavern,5-9 Bank Place MELBOURNE 3000,300,144.95897,-37.81844,"-37.81844, 144.95897"
2005,33,105933,105933,425-427 Little Collins Street MELBOURNE 3000,Melbourne (CBD),The Irish Times,"Ground , 427 Little Collins Street MELBOURNE 3000",170,144.95922,-37.81789,"-37.81789, 144.95922"
2005,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,115-127 Russell Street MELBOURNE 3000,414,144.96688,-37.8153,"-37.8153, 144.96688"
2005,48,101113,101113,59-63 Bourke Street MELBOURNE 3000,Melbourne (CBD),Asuka Restaurant,"Floor 2, 59-63 Bourke Street MELBOURNE 3000",150,144.97024,-37.81374,"-37.81374, 144.97024"
2005,48,105968,105968,62-66 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bridie O'Reillys,62-66 Little Collins Street MELBOURNE 3000,285,144.97013,-37.81445,"-37.81445, 144.97013"
2005,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),Murmur,"Level 1, 15-19 Warburton Lane MELBOURNE 3000",50,144.96053,-37.81545,"-37.81545, 144.96053"
2005,58,103621,103621,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),CBD Cafe Bar,"Part Ground , 174-192 Exhibition Street MELBOURNE 3000",190,144.96932,-37.81287,"-37.81287, 144.96932"
2005,58,105657,105657,21 Liverpool Street MELBOURNE 3000,Melbourne (CBD),Double Happiness Bar,21 Liverpool Street MELBOURNE 3000,50,144.96995,-37.81282,"-37.81282, 144.96995"
2005,61,105716,105716,597-603 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Men's Gallery,597-603 Lonsdale Street MELBOURNE 3000,675,144.95318,-37.81654,"-37.81654, 144.95318"
2005,64,104376,104376,14-20 Goldie Place MELBOURNE 3000,Melbourne (CBD),Word Events,14-20 Goldie Place MELBOURNE 3000,200,144.95942,-37.81492,"-37.81492, 144.95942"
2005,67,108581,108581,226-236 Russell Street MELBOURNE 3000,Melbourne (CBD),Mai Tai Restaurant,234A Russell Street MELBOURNE 3000,170,144.96633,-37.81262,"-37.81262, 144.96633"
2005,74,104662,104662,106-112 Hardware Street MELBOURNE 3000,Melbourne (CBD),Pugg Mahones Irish Bar,"Unit 1, 106-112 Hardware Street MELBOURNE 3000",200,144.95937,-37.81377,"-37.81377, 144.95937"
2005,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),So'bar,"Ground , 270 Russell Street MELBOURNE 3000",90,144.96585,-37.81175,"-37.81175, 144.96585"
2005,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,"Shop 1, 242-284 Exhibition Street MELBOURNE 3000",400,144.96866,-37.81105,"-37.81105, 144.96866"
2005,84,105449,105449,293-299 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Duke of Kent Hotel,293-299 La Trobe Street MELBOURNE 3000,200,144.95919,-37.81245,"-37.81245, 144.95919"
2005,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Hoyts Cinemas Limited,300-265 La Trobe Street MELBOURNE 3000,300,144.96146,-37.81215,"-37.81215, 144.96146"
